Continent,Region,Country,"Criminality avg,","Criminal markets avg,",Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Cyber-dependent crimes,Financial crimes,Trade in counterfeit goods,Illicit trade in excisable goods,Extortion and protection racketeering,"Criminal actors avg,",Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Private sector actors,"Resilience avg,",Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors
Europe,Southern Europe,Cyprus,4.43,3.97,5.5,6.5,2.5,2.5,3,2,2.5,5,4.5,3,4,5,5.5,5,3,4.9,3.5,5,4,7,5,4.46,4.5,4.5,7,6,4.5,5.5,2.5,3.5,3.5,4.5,4,3.5
Africa,Central Africa,Angola,5.58,5.17,6.5,5,6,7.5,5.5,8,3,6.5,4.5,2.5,5,5,4.5,6,2,6,3.5,6,8,5,7.5,4.5,5,5,5,5,3.5,4.5,5.5,5,4.5,4,4,3
Africa,West Africa,Togo,5.23,4.77,5.5,3.5,4,4,5.5,6.5,2.5,5.5,7,5,5,3.5,7,5.5,1.5,5.7,1,7,7.5,7,6,4.5,3.5,4,6,5.5,4,5,3.5,3.5,4.5,5,5,4.5
Africa,North Africa,Tunisia,4.45,5,4,8,3,3.5,5,5.5,3.5,4,7,6,4,8,6,5.5,2,3.9,1.5,4.5,6.5,2.5,4.5,4.5,4.5,4,5,6,3.5,4.5,6,5.5,3.5,4.5,3,4
Europe,Central & Eastern Europe,Ukraine,6.48,6.27,7.5,8,9,7,4.5,7.5,4,1.5,6.5,8,8.5,6.5,5.5,5,5,6.7,5.5,7.5,8,7,5.5,4.54,5,3.5,7.5,4.5,4.5,5,1.5,4.5,5,4,4,5.5
Africa,Southern Africa,Zambia,4.73,4.47,5,3,3.5,7.5,5,5.5,4.5,3.5,5,3.5,4,5,4.5,5,2.5,5,3,5,6.5,7.5,3,4.54,4.5,3.5,5.5,6.5,5,4,3.5,5.5,5.5,3,3,5
Asia,Central Asia and the Caucasus,Kazakhstan,4.47,4.33,6,4.5,3,2,5,5.5,6.5,2.5,5,6,2.5,5,4,4,3.5,4.6,4,4.5,6.5,4,4,4.54,5,4,5.5,5.5,5,4,5,4,5,4,4,3.5
Africa,Southern Africa,Namibia,4.3,4.1,3.5,2.5,3,6.5,5.5,4.5,3,4.5,3.5,4.5,5,4.5,4.5,3.5,3,4.5,2.5,5.5,5,6,3.5,4.54,4.5,4,7,6,4,3.5,3.5,4,4,4,4,6
Africa,Southern Africa,Malawi,4.48,4.77,5,4.5,4.5,5,6.5,4.5,4,3.5,6.5,3,2.5,7,7,6,2,4.2,2,4.5,4,5.5,5,4.58,5.5,5,5.5,5.5,5,3.5,3,6,4,2.5,4,5.5
Americas,Caribbean & Central,Antigua and Barbuda,2.98,2.67,4,2,3.5,1,3.5,1.5,3,6,5.5,1.5,1.5,2.5,1.5,1,2,3.3,3,3.5,3,5.5,1.5,4.58,4.5,5,5.5,5,3,4.5,4.5,3.5,5,4,5,5.5
Asia,South-Eastern Asia,Brunei,2.85,3.3,5,4,2.5,3,4,2,2.5,1.5,3.5,4.5,4,4,3,4,2,2.4,1,2,3,4,2,4.58,4,4,4.5,4.5,4,5.5,5.5,5.5,6,3,5,3.5
Africa,North Africa,Morocco,4.8,5.1,5.5,7,2,2,4.5,1.5,4,6,9,6,4,7.5,6.5,6,5,4.5,1.5,6.5,7.5,4,3,4.63,4.5,3.5,6,6.5,4,5.5,6,3.5,4.5,4.5,4,3
Americas,Caribbean & Central,Panama,6.98,6.67,7.5,6.5,7,6.5,8,6.5,5,8.5,4.5,5,6.5,7.5,7.5,7,6.5,7.3,7.5,7,7.5,6,8.5,4.67,4,4,6,6,3,4.5,5.5,3.5,5.5,4,4,6
Asia,Southern Asia,Bhutan,3.9,3.9,6,5,2.5,6.5,6,5,2.5,1.5,5,3.5,2.5,3,3.5,4,2,3.9,4,4.5,4,4,3,4.71,6,6.5,5,4.5,5.5,5,3.5,4,5.5,3.5,4,3.5
Europe,Central & Eastern Europe,Montenegro,5.9,5.2,5,5.5,6,3,5.5,3.5,5.5,7,6,4,5.5,6,3,7.5,5,6.6,7.5,7,7,6,5.5,4.75,4.5,4.5,6,5,4.5,4.5,5,5,4,4,5,5
Africa,East Africa,Ethiopia,5.68,6.07,8,7.5,8.5,4.5,6,6,3.5,4,6,3,5,7,8,8,6,5.3,2,6.5,5,6,7,4.75,4,4.5,6,6,5,3.5,4,7,5,3,5,4
Asia,South-Eastern Asia,Vietnam,6.55,6.5,7,7,4.5,7,9,6,7.5,4,4.5,7,6.5,7,7.5,7,6,6.6,6,7,7,6.5,6.5,4.79,5,4.5,6,6,4,4.5,5.5,5.5,5.5,4.5,5,1.5
Asia,South-Eastern Asia,Thailand,6.18,6.77,7,7,6.5,6.5,8,6,8,4,4.5,8.5,6,8,8,7,6.5,5.6,1.5,6,6.5,7,7,4.79,5,4.5,6.5,5.5,4,5.5,4,5,4.5,4.5,5,3.5
